time,stock,paired_shares,imbalance_shares,imbalance_direction,imbalance_ratio,signed_imbalance,near_reference_deviation,far_price,near_price,reference_price,signal
0 days 09:29:59.096014151,FTRP,2060,1587,B,0.43515217987386895,0.43515217987386895,0.013352408202193595,0.85,0.85,0.8388,1
0 days 09:29:59.319154919,KTRA,64459,48727,B,0.4305037725513756,0.4305037725513756,0.019786910197869177,0.21,0.201,0.1971,1
0 days 09:29:59.309021370,FTAIP,3589,2581,B,0.41831442463533225,0.41831442463533225,0.0008254230293024999,24.35,24.25,24.23,1
0 days 09:29:59.054884676,ELMS,2598,1737,B,0.4006920415224913,0.4006920415224913,0.012373453318335233,0.81,0.81,0.8001,1
0 days 09:29:59.131079716,CRBP,14346,9120,B,0.38864740475581694,0.38864740475581694,0.02007899934167213,0.3099,0.3099,0.3038,1
0 days 09:29:59.042439932,BYSI,1040,635,B,0.37910447761194027,0.37910447761194027,0.006329113924050638,1.59,1.59,1.58,1
0 days 09:29:59.315461344,VERB,5262,3033,B,0.36564195298372515,0.36564195298372515,0.0031545741324921165,0.636,0.636,0.634,1
0 days 09:29:59.314580791,GEG,1514,830,B,0.35409556313993173,0.35409556313993173,0.017964071856287442,1.7,1.7,1.67,1
0 days 09:29:59.304118708,CLLS,3924,1980,B,0.3353658536585366,0.3353658536585366,0.0031347962382445864,3.22,3.2,3.19,1
0 days 09:29:59.023093948,COCP,3366,1657,B,0.32988254031455305,0.32988254031455305,0.02966507177033498,0.44,0.4304,0.418,1
0 days 09:29:59.080885163,EBTC,122,59,B,0.3259668508287293,0.3259668508287293,0.0026785714285713184,33.69,33.69,33.6,1
0 days 09:29:59.194334114,TMDI,14255,6731,B,0.32073763461355187,0.32073763461355187,0.05907407407407394,0.5719,0.5719,0.54,1
0 days 09:29:59.036911573,MDGS,6667,2925,B,0.3049416180150125,0.3049416180150125,0.013071895424836612,0.93,0.93,0.918,1
0 days 09:29:59.055625457,SARK,36381,15852,B,0.30348630176325314,0.30348630176325314,0.00015151515151522904,66.01,66.01,66.0,1
0 days 09:29:59.097276543,NUZE,579,252,B,0.30324909747292417,0.30324909747292417,0.012195121951219523,1.72,1.66,1.64,1
0 days 09:29:59.032930327,CLXT,15526,6592,B,0.2980377972691925,0.2980377972691925,0.007999999999999972,0.33,0.3276,0.325,1
0 days 09:29:59.282765106,VRTS,837,353,B,0.2966386554621849,0.2966386554621849,0.0010996643129991765,172.97,172.97,172.78,1
0 days 09:29:59.013134370,BSRR,370,153,B,0.2925430210325048,0.2925430210325048,0.0004574565416286168,21.92,21.87,21.86,1
0 days 09:29:59.020194393,GOCO,7870,2941,B,0.27203773933956155,0.27203773933956155,0.0008347245409015651,0.72,0.7194,0.7188,1
0 days 09:29:59.280731133,DJCO,264,96,B,0.26666666666666666,0.26666666666666666,0.003740157480314916,254.95,254.95,254.0,1
0 days 09:29:59.028598965,SLDB,32651,11082,B,0.25340132165641505,0.25340132165641505,0.0031004924311508935,0.55,0.55,0.5483,1
0 days 09:29:59.014829348,TIGO,476,158,B,0.24921135646687698,0.24921135646687698,0.0014648437500000555,20.53,20.51,20.48,1
0 days 09:29:59.320362964,FAMI,160641,53285,B,0.24908145807428736,0.24908145807428736,0.024590163934426222,0.1,0.1,0.0976,1
0 days 09:29:59.174086238,SRGA,22172,7170,B,0.24435962102106196,0.24435962102106196,0.010638297872340519,0.2,0.1995,0.1974,1
0 days 09:29:59.005051346,SSIC,1153,365,B,0.24044795783926218,0.24044795783926218,0.003344481605351099,9.0,9.0,8.97,1
0 days 09:29:59.074704558,SOUN,1441,452,B,0.2387744321183307,0.2387744321183307,0.0029673590504450406,13.53,13.52,13.48,1
0 days 09:29:59.111615323,NCNA,3058,926,B,0.232429718875502,0.232429718875502,0.0001449485432671242,0.69,0.69,0.6899,1
0 days 09:29:59.031640666,CNTB,6147,1788,B,0.22533081285444234,0.22533081285444234,0.013114754098360668,0.618,0.618,0.61,1
0 days 09:29:59.163010257,FCVT,682,196,B,0.22323462414578588,0.22323462414578588,0.0026439482961223095,34.16,34.13,34.04,1
0 days 09:29:59.029738082,SFST,340,85,S,0.2,-0.2,-0.001337792642140519,44.79,44.79,44.85,-1
0 days 09:29:59.013868371,BBIG,145614,36660,S,0.20112577767536785,-0.20112577767536785,-0.00946372239747628,3.14,3.14,3.17,-1
0 days 09:29:59.249106394,EXAS,14930,3981,S,0.2105124001903654,-0.2105124001903654,-0.002256487401278628,52.94,53.06,53.18,-1
0 days 09:29:59.025039634,TMC,25132,7271,S,0.22439280313551213,-0.22439280313551213,-0.006849315068493157,1.44,1.45,1.46,-1
0 days 09:29:59.095394342,GOEV,19924,5806,S,0.22565099106101827,-0.22565099106101827,-0.0023255813953487877,4.29,4.29,4.3,-1
0 days 09:29:59.099645782,BSQR,3334,999,S,0.23055619663051005,-0.23055619663051005,-0.007874015748031503,1.26,1.26,1.27,-1
0 days 09:29:59.245782776,WTER,24817,7476,S,0.2315052797819961,-0.2315052797819961,-0.009312462849217431,0.5,0.5,0.5047,-1
0 days 09:29:59.231235831,ISTR,1287,395,S,0.2348394768133175,-0.2348394768133175,-0.000505050505050584,19.78,19.79,19.8,-1
0 days 09:29:59.072379054,TZOO,1624,531,S,0.24640371229698377,-0.24640371229698377,-0.005925925925925931,6.71,6.71,6.75,-1
0 days 09:29:59.311846229,KOSS,1004,333,S,0.24906507105459985,-0.24906507105459985,-0.005000000000000042,5.97,5.97,6.0,-1
0 days 09:29:59.193407314,AGLE,1898,656,S,0.2568519968676586,-0.2568519968676586,-0.014492753623188259,1.36,1.36,1.38,-1
0 days 09:29:59.304916597,AGEN,24514,8589,S,0.25946288855994926,-0.25946288855994926,-0.012269938650306624,1.61,1.61,1.63,-1
0 days 09:29:59.326209515,BCOV,1565,573,S,0.26800748362956034,-0.26800748362956034,-0.0029069767441859845,6.83,6.86,6.88,-1
0 days 09:29:59.282554803,CPTN,2173,797,S,0.26835016835016834,-0.26835016835016834,-0.0035714285714284954,2.79,2.79,2.8,-1
0 days 09:29:59.163150162,MEIP,8308,3104,S,0.2719943918682089,-0.2719943918682089,-0.0021052631578947,0.555,0.5688,0.57,-1
0 days 09:29:59.218989423,ABST,479,187,S,0.2807807807807808,-0.2807807807807808,-0.0014245014245013942,7.01,7.01,7.02,-1
0 days 09:29:59.114851160,SNAX,2345,927,S,0.2833129584352078,-0.2833129584352078,-0.006024096385542174,0.82,0.825,0.83,-1
0 days 09:29:59.218147927,LBRDA,711,299,S,0.296039603960396,-0.296039603960396,-9.110787172016322e-05,109.75,109.75,109.76,-1
0 days 09:29:59.130797677,BUG,46697,19702,S,0.29672133616470125,-0.29672133616470125,-0.0011547344110854941,25.82,25.95,25.98,-1
0 days 09:29:59.198180894,WTRH,52217,22426,S,0.30044344412737967,-0.30044344412737967,-0.01900452488687787,0.2168,0.2168,0.221,-1
0 days 09:29:59.176662237,ICLN,233006,106146,S,0.31297471340284,-0.31297471340284,-0.0011086474501108411,18.02,18.02,18.04,-1
0 days 09:29:59.052193494,SKYX,409,189,S,0.31605351170568563,-0.31605351170568563,-0.003980099502487654,10.01,10.01,10.05,-1
0 days 09:29:59.289341810,CHNG,2776,1369,S,0.33027744270205067,-0.33027744270205067,-0.00042844901456733347,23.32,23.33,23.34,-1
0 days 09:29:59.143000571,VORB,2027,1080,S,0.3476021886063727,-0.3476021886063727,-0.005813953488372141,5.13,5.13,5.16,-1
0 days 09:29:59.302861999,HTGM,14679,8496,S,0.3666019417475728,-0.3666019417475728,-0.01492537313432837,0.66,0.66,0.67,-1
0 days 09:29:59.012662417,EOSE,7816,4529,S,0.3668691778047793,-0.3668691778047793,-0.0049261083743841316,2.02,2.02,2.03,-1
0 days 09:29:59.175012048,ARAV,968,602,S,0.3834394904458599,-0.3834394904458599,-0.014388489208632947,1.33,1.37,1.39,-1
